index_date,ggbr4_(real)_observed,ggbr4_(real)_fitted,ggbr4_(real)_predicted,std_error,ci_95_lower,ci_95_upper
2018-06-01,13.879862766531,14.638305930984124,,,,
2018-07-01,16.634015602223,14.60336005675709,,,,
2018-08-01,16.2076257357161,17.180286582543005,,,,
2018-09-01,17.4410674632631,15.738804191323696,,,,
2018-10-01,16.5556019082164,17.70380559296492,,,,
2018-11-01,15.2622622719636,15.638647057257234,,,,
2018-12-01,14.9935440049963,14.365610654972215,,,,
2019-01-01,14.8982693594699,15.346746196600348,,,,
2019-02-01,15.5424058266924,14.869340841999026,,,,
2019-03-01,14.5607028138045,12.628638177026293,,,,
2019-04-01,14.0888012436502,16.38027501536985,,,,
2019-05-01,14.2396627362187,14.941671391009947,,,,
2019-06-01,14.9995989527461,13.787658874395657,,,,
2019-07-01,13.5213902447398,15.876637853173335,,,,
2019-08-01,13.1223740012608,12.832286680848192,,,,
2019-09-01,13.4720467962794,13.852426613070133,,,,
2019-10-01,13.9017477333136,12.651720532404838,,,,
2019-11-01,17.0446288219729,12.856719655125925,,,,
2019-12-01,20.1665711952435,15.795661026577784,,,,
2020-01-01,19.2852802354751,17.85773357125978,,,,
2020-02-01,17.3906247781107,20.497214665380643,,,,
2020-03-01,9.43684151257065,14.281522964812595,,,,
2020-04-01,11.6547213309648,5.712559626837461,,,,
2020-05-01,13.5251367442894,9.201221622439174,,,,
2020-06-01,15.6610045261795,16.47513778918912,,,,
2020-07-01,17.0933459512019,16.287621296868636,,,,
2020-08-01,19.4348378889946,16.629386568321724,,,,
2020-09-01,21.2299541257475,19.310028838359973,,,,
2020-10-01,22.4639240849896,20.63478190368371,,,,
2020-11-01,22.7669871947648,22.9280735020786,,,,
2020-12-01,24.570345405175,23.15742903566463,,,,
2021-01-01,22.5416002535673,20.866846837808854,,,,
2021-02-01,26.3944318178038,19.427195570407132,,,,
2021-03-01,29.5510696269038,22.217815913480262,,,,
2021-04-01,33.0982983726123,29.51004040025617,,,,
2021-05-01,32.8004806085827,32.81190815231328,,,,
2021-06-01,29.2062638991177,30.626392519534143,,,,
2021-07-01,30.3771383246888,26.873784628478617,,,,
2021-08-01,28.6923951452182,28.645294661436076,,,,
2021-09-01,27.6415895766718,27.092556144121772,,,,
2021-10-01,27.6541214039331,27.502942343150202,,,,
2021-11-01,,,27.105817233804252,2.5934588124755793,22.0227313659641,32.18890310164441
2021-12-01,,,26.621250220642636,3.2143866538704757,20.32116814667029,32.921332294614984
2022-01-01,,,28.43991562945557,3.733251741977446,21.12287666995836,35.75695458895278
2022-02-01,,,29.31068941384973,4.12831316011084,21.219344303129745,37.402034524569714
2022-03-01,,,28.631073524656195,4.450467636141559,19.90831724345763,37.35382980585476
2022-04-01,,,29.529908906619838,4.716812648205074,20.285125994314896,38.77469181892478
2022-05-01,,,27.8932205705638,4.940536890852413,18.20994620020157,37.576494940926025
2022-06-01,,,25.38861338069087,5.130311401684769,15.33338780391352,35.443838957468216
2022-07-01,,,24.886102805259547,5.292524107691632,14.512946166873963,35.259259443645135
2022-08-01,,,23.6678035047166,5.431985065151878,13.02130841245946,34.314298596973735
