index_date,ggbr4_(real),car_production,volume
2017-07-01,0.2585205472036005,146403.874480139,133940390.459164
2017-08-01,1.1555928726999998,174304.546864802,185978022.638936
2017-09-01,-0.7100059823600997,168689.058788619,210694393.636248
2017-10-01,-0.18724726307630135,159637.434549992,202093685.509345
2017-11-01,-0.4571478864450995,159729.088138294,228976359.609308
2017-12-01,2.0104065853075,139855.900976804,211666307.71038
2018-01-01,1.2262815332978008,166730.656688034,265383287.377128
2018-02-01,3.0918847475704005,155968.055760083,185175169.449861
2018-03-01,-1.9530157611120007,174000.616703898,173831178.848649
2018-04-01,1.6665333882568998,185645.967671114,157363488.682466
2018-05-01,-1.2458914073756997,164550.202755389,178345538.813474
2018-06-01,-1.4868753140444007,169005.88301523,218021810.026417
2018-07-01,2.7541528356919986,172857.168680049,201966076.702993
