index_date,ggbr4_(reais),car_production,volume
2015-03-01,9.74701798735951,193163.732808758,118932095.748593
2015-04-01,9.96257564294974,183969.759916827,120216064.543809
2015-05-01,9.4605205447155,178640.754449659,111534032.103924
2015-06-01,8.22160581138333,180354.622119165,84757131.8804985
2015-07-01,6.19815414522305,179050.112921598,106359161.775607
2015-08-01,5.2974070193298,163704.292561182,121037824.522889
2015-09-01,5.53751414073542,167213.377412242,188042941.861416
2015-10-01,5.19238837693129,154882.966260777,158212736.590329
2015-11-01,5.28716456637417,157712.791627074,156908901.483139
2015-12-01,4.58452903789868,159278.356028038,136971269.940384
2016-01-01,3.34381272649821,147585.445496724,101708024.918146
2016-02-01,3.53601503203923,154345.477250323,151529813.968467
2016-03-01,6.13392541368992,151108.864635322,195393039.935695
2016-04-01,7.7520169388692,137368.729609038,109053604.301668
2016-05-01,6.33739432314966,139138.9038878,173890422.687108
2016-06-01,6.3826388589509,144909.784078183,203154287.917971
2016-07-01,7.99166619131449,139657.986062716,202823854.765446
2016-08-01,9.0999751556591,141148.545771138,146687009.61909
2016-09-01,8.99747033459976,131998.166632476,153151488.579489
2016-10-01,10.9069047326745,124820.037230816,127087690.059354
2016-11-01,12.8349390083584,140140.664878347,155709391.789802
2016-12-01,10.8839048678537,137364.449605953,139854821.556638
2017-01-01,11.8160470971263,138456.239713814,95686766.8999491
2017-02-01,13.0947959161736,141027.634876351,102116066.45962
2017-03-01,10.4038660455277,160520.669881107,94585868.2624387
2017-04-01,9.75436652984973,137333.926554684,116039135.420451
2017-05-01,10.2407213237166,164326.006765078,129603994.324276
2017-06-01,10.5108267066084,166863.316470702,151976351.325515
2017-07-01,10.769347253812,146403.874480139,133940390.459164
2017-08-01,11.924940126512,174304.546864802,185978022.638936
2017-09-01,11.2149341441519,168689.058788619,210694393.636248
2017-10-01,11.0276868810756,159637.434549992,202093685.509345
2017-11-01,10.5705389946305,159729.088138294,228976359.609308
